"No.","Time","Source","Destination","Protocol","Length","Info"
"210","109.319735","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x9c2d, seq=1443/41733, ttl=64 (no response found!)"
"211","109.320777","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"212","110.321338","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x9d2d, seq=1444/41989, ttl=64 (no response found!)"
"213","110.330842","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"214","111.332040","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x9e2d, seq=1445/42245, ttl=64 (no response found!)"
"215","111.338699","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"216","112.340332","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x9f2d, seq=1446/42501, ttl=64 (no response found!)"
"217","112.343892","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"218","113.353538","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0xa02d, seq=1447/42757, ttl=64 (no response found!)"
"219","113.369505","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"220","114.373853","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0xa12d, seq=1448/43013, ttl=64 (no response found!)"
"221","114.389194","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"222","115.390789","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0xa22d, seq=1449/43269, ttl=64 (no response found!)"
"223","115.393471","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"224","116.395584","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0xa32d, seq=1450/43525, ttl=64 (no response found!)"
"225","116.400949","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"226","116.495078","ca:01:38:f4:00:00","ca:01:38:f4:00:00","LOOP","60","Reply"
"227","117.402043","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0xa42d, seq=1451/43781, ttl=64 (no response found!)"
